variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,veg_type0,n
expansive_uwm,veg_type0X,0.5177501486133006,0.32398781137901883,0.219238012043833,0.8264646463390681,0.36262845280543243,0.6695244232065465,X,42
grass_wm,veg_type0A,0.6148746257894123,0.33076564081373644,1.4144439452407964,0.15723159485943788,0.4550121732031421,0.7532716900294999,A,73
grass_wm,veg_type0M,0.6550666797926434,0.3019863865771187,2.123890137379125,0.0336793312952079,0.5123733399083162,0.7743900999015512,M,77
grass_wm,veg_type0R,0.6388870416059128,0.25115971951525795,2.2716096857623693,0.023110095361066747,0.5195582272304975,0.7432254286182665,R,121
grass_wm,veg_type0TD_mesic,0.43264674336649234,0.2402635720509844,-1.128180086305008,0.2592438721625185,0.32257383150971874,0.5497962187104185,TD_mesic,85
grass_wm,veg_type0TD_wet,0.4985073923564286,0.21856927235974,-0.027316046053070656,0.9782076587444736,0.3930860794241924,0.6040615803286651,TD_wet,219
grass_wm,veg_type0TE,0.56295044590022425,0.2861696603458432,0.8845976937061647,0.3763736510042135,0.4236671570394659,0.6929670221178751,TE,75
grass_wm,veg_type0TFG,0.3288888519549302,0.3052929959680806,-2.336165324338366,0.01948262677719534,0.21222287603119397,0.47131861231357597,TFG,63
grass_wm,veg_type0TH,0.5190735390212233,0.21733602440261096,0.35121281150415096,0.7254286994062716,0.4134698237027538,0.6230001515397834,TH,362
grass_wm,veg_type0X,0.5761772540201615,0.32972600920472517,0.9313794531433985,0.351657315491011,0.4160157063905544,0.721788618288962,X,42
grass_uwm,veg_type0A,0.7585910857343874,0.3549895862574027,3.225364031007963,0.0012581258163914969,0.61044992285926,0.863035900620591,A,73
grass_uwm,veg_type0M,0.47297681012136816,0.30904768894030865,-0.3501019258435249,0.726262205635524,0.3287331256381759,0.6218773208048524,M,77
grass_uwm,veg_type0R,0.7404800701665253,0.27396062116733294,3.8270654165527223,1.2968005999607036e-4,0.6251609184469484,0.829970494758005,R,121
grass_uwm,veg_type0TD_mesic,0.5532943915388461,0.2504977872284307,0.8542607590986396,0.39296052452689617,0.43119525350724996,0.6692859008535587,TD_mesic,85
grass_uwm,veg_type0TD_wet,0.7109566953260814,0.23589699516634796,3.815372894215482,1.3597743581855737e-4,0.6077073667175082,0.7961469869303991,TD_wet,219
grass_uwm,veg_type0TE,0.577598228611034,0.2941631606437111,1.0637688079892917,0.2874334448988405,0.434472172388752,0.708780951199752,TE,75
grass_uwm,veg_type0TFG,0.5137712014230991,0.3063420333159541,0.17986020480346873,0.85726231761031,0.36695074279015333,0.6582528727684765,TFG,62
grass_uwm,veg_type0TH,0.5470327288139635,0.22689515849226122,0.8316121037941812,0.4056279278760059,0.4363429262988617,0.6532588914989425,TH,361
grass_uwm,veg_type0X,0.522029966242339,0.33418569163263817,0.26385615959778097,0.7918907583386204,0.36197207903033884,0.6776884124818254,X,42
graminoid_wm,veg_type0A,0.5191725739531752,0.3946407368207009,0.19442472367923838,0.8458433325730439,0.3325323636040831,0.7006110979358597,A,73
