species_name,EIV_light,EIV_temp,EIV_moist,EIV_react,EIV_nutr,dist_freq,dist_sev,GF_annual,GF_monocarpic,GF_polycarpic,GF_clonal,GF_dwarf,GF_shrub,GF_tree,LS_Pierce_C,LS_Pierce_S,LS_Pierce_R,LLS_overwintering_green,LLS_spring_green,LLS_summer_green,LLS_evergreen,LA_succulent,LA_scleromorphic,LA_mesomorphic,LA_hygromorphic,LA_helomorphic,LA_hydromorphic,SLA,GR_allogamy,GR_autogamy,GR_mixed_mating,GR_apomixis,wind_pollination,insect_pollination,selfing,DS_Allium,DS_Bidens,DS_Cornus,DS_Epilobium,DS_Lycopodium,DS_Phragmites,DS_Sparganium,DS_Zea,myrmecochorous,Par_autotrophic,Par_parasite,Par_mycoheterotroph,symbiosis_N_fixers,no_nitrogen_fixing,eco_spec_all,colonization_success,colonization_potential,expansive,grass,graminoid,non_myrmecochorous,LC,NT,VU,EN,CR,native,archaeophyte,neophyte,log_leaf_size,log_height_mean
Achillea filipendulina,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,1,NA,-0.045757490560675115
Achillea grandifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,NA,NA
Achillea millefolium,7,NA,5,NA,5,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,1,0,0.5,0.5,0,0,0,18.93520758,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,2.6138418218760693,-0.2596373105057561
Achillea millefolium agg.,7,NA,5,NA,5,-0.247,0.47,0,0,0,1,0,0,0,22.02,58.81,19.18,0,0,0.5,0.5,0,0.5,0.5,0,0,0,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3.82,9,5,0,0,0,0,1,0,0,0,0,1,0,0,NA,-0.2596373105057561
Achillea millefolium subsp. millefolium,7,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,NA,-0.2218487496163564
Achillea millefolium subsp. sudetica,7,4,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,NA,-0.6020599913279624
Achillea nobilis,8,7,3,8,2,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,0,0,1,0,0,0.5,0.5,0,0,0,11.772,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4.19,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,1.9726702173158381,-0.42596873227228116
Achillea pannonica,8,7,3,8,3,-0.253,0.277,0,0,0,1,0,0,0,22.44,77.56,0,0,0,1,0,0,0.5,0.5,0,0,0,8.075,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5.3,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,2.754222157894667,-0.2798406965940431
Achillea pratensis,7,5,5,5,6,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,NA,-0.2596373105057561
Achillea ptarmica,7,5,8,4,4,-0.237,0.331,0,0,0,1,0,0,0,11.38,44.81,43.8,0,0,1,0,0,0,0.5,0,0.5,0,16.29580749,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5.94,4,2,0,0,0,0,1,0,0,0,0,1,0,0,2.0755469613925306,-0.18708664335714442
